CODE;PRODUCTO;TIPO_CARROCERIA;COMBUSTIBLE;Potencia_;TRANS;FORMA_PAGO;ESTADO_CIVIL;GENERO;OcupaciOn;PROVINCIA;Campanna1;Campanna2;Campanna3;Zona _Renta;REV_Garantia;Averia_grave;QUEJA_CAC;EDAD_COCHE;COSTE_VENTA;km_anno;Mas_1_coche;Revisiones;Edad Cliente;Tiempo
CLI14142;B;TIPO6;FUEL 1;Media;M;Contado;CASADO;M;Empresa;Santa Cruz de Tenerife;NO;NO;NO;Alto;SI;Averia muy grave;SI;3.06;1750;11690;0;1;60;0
CLI54228;I;TIPO7;FUEL 1;Alta;M;Otros;CASADO;F;Empresa;Madrid;SI;NO;SI;NA;NO DATA;No;NO;1.38;2743;0;1;0;50;4
CLI34090;D;TIPO6;FUEL 1;Media;A;Contado;CASADO;M;Empresa;Navarra;SI;NO;NO;Medio;NO DATA;No;NO;8.87;1380;12554;1;5;60;5
CLI27160;A;TIPO1;FUEL 1;Baja;M;Contado;CASADO;M;Empresa;Las Palmas;SI;NO;NO;Medio-Bajo;SI;No;NO;3.88;3380;12969;0;3;59;0
CLI20418;C;TIPO4;FUEL 2;Media;M;Contado;EN PAREJA;F;Funcionario;Tarragona;NO;NO;NO;Medio-Bajo;NO DATA;Averia muy grave;SI;9.21;1765;20317;0;9;46;0
CLI24365;A;TIPO1;FUEL 1;Baja;M;Contado;CASADO;F;Empresa;Cadiz;SI;NO;NO;Medio-Bajo;SI;Averia muy grave;SI;9.18;0;12028;0;4;18;0
CLI10368;B;TIPO1;FUEL 1;Media;M;Contado;SOLTERO;M;Empresa;Barcelona;NO;NO;NO;Alto;NO DATA;No;NO;8.01;2788;13046;0;4;50;0
CLI56178;I;TIPO7;FUEL 2;Alta;A;Financiera Marca;CASADO;M;Empresa;Sevilla;NO;NO;NO;Alto;SI;Averia muy grave;SI;3.5;1829;14804;0;2;42;0
CLI39533;D;TIPO8;FUEL 1;Alta;M;Contado;SOLTERO;M;Empresa;Madrid;NO;SI;NO;Medio;NO DATA;No;NO;5.21;4322;16570;1;3;54;9
CLI16137;B;TIPO1;FUEL 2;Media;M;Contado;SOLTERO;M;Empresa;Pontevedra;SI;NO;NO;Alto;SI;Averia grave;NO;3.67;2510;14635;0;4;45;0
CLI46524;I;TIPO7;FUEL 2;Media;M;Financiera Marca;CASADO;M;Empresa;Madrid;SI;NO;NO;Medio;SI;Averia grave;NO;2.7;1903;19146;0;1;56;0
CLI9877;B;TIPO1;FUEL 2;Media;M;Contado;CASADO;F;Empresa;Madrid;NO;NO;NO;Alto;NO DATA;Averia muy grave;SI;6.52;6671;30208;1;8;38;9
CLI27245;A;TIPO1;FUEL 1;Baja;M;Contado;CASADO;M;Empresa;Gerona;NO;NO;NO;Medio-Bajo;SI;No;NO;3.9;3380;10750;0;2;52;0
CLI24810;A;TIPO1;FUEL 1;Baja;M;Financiera Banco;CASADO;M;Empresa;Murcia;NO;NO;NO;Otros;NO DATA;Averia muy grave;SI;6.76;4548;0;0;5;18;0
CLI17972;C;TIPO4;FUEL 1;Media;M;Contado;CASADO;M;Empresa;Barcelona;NO;NO;NO;Alto;NO DATA;Averia muy grave;SI;8.85;2593;9979;1;4;42;6
CLI56317;I;TIPO7;FUEL 2;Alta;A;Contado;CASADO;F;Empresa;Lacoruna;NO;NO;NO;Alto;SI;Averia muy grave;SI;2.56;2127;12460;0;2;62;0
CLI45433;I;TIPO7;FUEL 2;Media;M;Otros;CASADO;M;Empresa;Madrid;NO;NO;NO;Alto;SI;Averia leve;NO;3.39;1903;22755;0;2;53;0
CLI45105;I;TIPO7;FUEL 2;Media;M;Otros;CASADO;M;Empresa;Barcelona;SI;SI;NO;Alto;SI;Averia muy grave;SI;3.67;3682;17186;0;2;67;0
CLI51761;I;TIPO7;FUEL 2;Media;A;Contado;CASADO;F;Empresa;Madrid;NO;NO;NO;Alto;SI;Averia muy grave;SI;2.8;1829;8373;1;2;62;5
CLI39075;D;TIPO1;FUEL 1;Alta;M;Contado;CASADO;M;Empresa;Alava;NO;NO;NO;Alto;NO DATA;No;NO;6.95;2024;8561;1;4;49;5
CLI18512;C;TIPO4;FUEL 2;Media;M;Contado;CASADO;M;Empresa;Lacoruna;NO;NO;NO;Medio-Bajo;NO DATA;Averia muy grave;SI;8.76;2931;10930;0;5;46;0
CLI17633;C;TIPO4;FUEL 1;Media;M;Contado;CASADO;F;Empresa;Barcelona;NO;SI;NO;Medio-Bajo;NO DATA;Averia muy grave;SI;6.93;2666;17339;0;5;52;0
CLI26534;A;TIPO1;FUEL 1;Baja;M;Contado;CASADO;F;Empresa;Murcia;NO;NO;NO;Medio-Bajo;NO DATA;No;SI;9.52;381;8704;0;9;40;0
CLI11673;B;TIPO1;FUEL 1;Alta;M;Contado;SOLTERO;M;Empresa;Navarra;SI;NO;NO;Alto;SI;No;NO;7.61;1268;22725;1;7;55;7
CLI17505;C;TIPO4;FUEL 1;Media;M;Contado;EN PAREJA;F;Empresa;Cantabria;NO;NO;NO;Medio-Bajo;NO DATA;No;NO;8.09;2780;7584;0;4;62;0
CLI36472;D;TIPO1;FUEL 2;Media;M;Contado;CASADO;M;Empresa;Barcelona;NO;NO;NO;Alto;NO DATA;Averia muy grave;SI;9.59;0;23766;1;7;45;6
CLI50082;I;TIPO7;FUEL 2;Media;M;Financiera Marca;CASADO;M;Empresa;Huesca;SI;NO;SI;NA;NO DATA;No;NO;1.62;2648;0;0;1;42;0
CLI38883;D;TIPO1;FUEL 2;Media;M;Financiera Banco;CASADO;M;Empresa;Lacoruna;SI;SI;NO;NA;SI;Averia grave;NO;5.95;5104;10205;0;5;49;0
CLI56724;I;TIPO7;FUEL 2;Alta;A;Financiera Banco;CASADO;F;Empresa;Barcelona;NO;NO;SI;NA;NO DATA;No;NO;1.7;2743;0;1;1;66;4
CLI24376;A;TIPO1;FUEL 1;Baja;M;Contado;SOLTERO;F;Empresa;Madrid;NO;NO;NO;Alto;NO DATA;No;NO;8.96;512;7967;1;9;62;4
CLI18397;C;TIPO4;FUEL 2;Media;M;Contado;CASADO;F;Empresa;Alicante;NO;NO;NO;Medio-Bajo;SI;Averia muy grave;SI;8.29;2716;16566;0;4;42;0
CLI52005;I;TIPO7;FUEL 2;Media;A;Contado;CASADO;M;Empresa;Guipuzcua;NO;NO;NO;Medio-Bajo;NO DATA;Averia muy grave;SI;2.2;1829;0;0;2;28;0
CLI55527;I;TIPO7;FUEL 2;Media;M;Financiera Marca;EN PAREJA;M;Funcionario;Barcelona;SI;NO;SI;NA;NO DATA;No;NO;1.36;1829;0;0;0;41;0
CLI38005;D;TIPO1;FUEL 1;Media;M;Contado;CASADO;M;Empresa;Barcelona;NO;NO;NO;Medio;SI;No;NO;6.26;4651;6852;1;4;43;8
CLI51536;I;TIPO7;FUEL 2;Media;A;Contado;EN PAREJA;F;Empresa;Gerona;NO;NO;NO;Alto;SI;Averia muy grave;SI;3.4;1829;17057;0;2;59;0
CLI22068;A;TIPO1;FUEL 2;Baja;M;Contado;SOLTERO;M;Empresa;Barcelona;NO;NO;NO;NA;NO DATA;No;NO;7.43;1505;6923;0;7;54;0
CLI35832;D;TIPO1;FUEL 2;Media;M;Otros;SOLTERO;M;Empresa;Cadiz;NO;NO;NO;NA;NO DATA;Averia muy grave;SI;8.51;1906;17144;0;7;38;0
CLI56603;I;TIPO7;FUEL 2;Alta;A;Financiera Marca;CASADO;M;Empresa;Valencia;SI;NO;NO;Medio-Bajo;NO DATA;No;NO;2.1;2727;0;0;0;34;0
CLI43200;I;TIPO7;FUEL 1;Alta;M;Financiera Marca;CASADO;M;Empresa;Barcelona;SI;NO;NO;Alto;SI;No;NO;3.22;2727;17260;1;2;46;8
CLI20622;C;TIPO4;FUEL 1;Media;M;Contado;CASADO;F;Empresa;Madrid;NO;SI;NO;Medio;NO DATA;No;NO;6.8;1500;7886;0;3;62;0
CLI57466;E;TIPO2;FUEL 1;Alta;M;Otros;SOLTERO;M;Empresa;Santa Cruz de Tenerife;NO;NO;NO;Alto;NO DATA;No;NO;7.53;1098;8261;0;4;48;0
CLI45852;I;TIPO7;FUEL 2;Media;M;Financiera Marca;CASADO;F;Empresa;Jaen;SI;NO;NO;NA;SI;Averia grave;NO;3.27;2799;9184;0;2;60;0
CLI6835;B;TIPO1;FUEL 1;Media;M;Contado;CASADO;M;Empresa;Almeria;NO;NO;NO;Medio-Bajo;NO DATA;No;NO;9.39;3299;0;0;7;42;0
CLI274;A;TIPO1;FUEL 1;Baja;M;Otros;CASADO;M;Empresa;Alava;NO;NO;NO;NA;SI;Averia grave;NO;2.26;2064;34332;1;1;43;4
CLI4145;B;TIPO6;FUEL 2;Media;M;Contado;CASADO;F;Empresa;Murcia;SI;NO;NO;Medio-Bajo;SI;Averia muy grave;SI;9.1;764;7454;0;7;60;0
CLI7658;B;TIPO6;FUEL 2;Media;M;Contado;CASADO;F;Empresa;Madrid;NO;NO;NO;Medio;SI;Averia grave;NO;8.1;1713;19671;0;7;45;0
CLI37910;D;TIPO1;FUEL 1;Media;M;Otros;CASADO;M;Empresa;Alicante;NO;SI;NO;NA;NO DATA;No;NO;6.93;6100;11778;1;3;44;10
CLI27494;A;TIPO1;FUEL 1;Baja;M;Financiera Marca;CASADO;F;Empresa;Cadiz;SI;NO;NO;Medio-Bajo;SI;No;NO;3.04;3787;13890;0;3;52;0
CLI43287;I;TIPO7;FUEL 1;Alta;M;Contado;CASADO;M;Empresa;Madrid;NO;NO;NO;Alto;SI;No;NO;3.14;1829;11603;0;2;46;0
CLI25015;A;TIPO1;FUEL 1;Baja;M;Contado;;;Empresa;Baleares;NO;NO;NO;Medio-Bajo;NO DATA;Averia muy grave;SI;9.26;414;19607;0;5;38;0
CLI41580;D;TIPO8;FUEL 2;Media;M;Financiera Marca;CASADO;M;Empresa;Pontevedra;SI;NO;SI;Alto;SI;Averia grave;SI;2.97;6166;35224;1;2;60;8
CLI3759;B;TIPO1;FUEL 1;Alta;M;Contado;CASADO;M;Empresa;Vizcaya;NO;NO;NO;Medio-Bajo;NO DATA;No;SI;1.91;1684;0;0;1;37;0
CLI32007;J;TIPO7;FUEL 2;Alta;M;Contado;CASADO;M;Empresa;Huelva;NO;NO;NO;Medio;SI;Averia muy grave;SI;6.18;0;11416;0;4;51;0
CLI57545;E;TIPO2;FUEL 1;Media;M;Financiera Banco;CASADO;F;Empresa;Pontevedra;NO;SI;NO;Medio-Bajo;NO DATA;No;NO;5.51;4865;6268;0;3;44;0
CLI12924;B;TIPO6;FUEL 1;Media;M;Financiera Banco;SOLTERO;F;Funcionario;Madrid;NO;SI;NO;Alto;NO DATA;No;NO;5.38;2699;9740;1;2;53;6
CLI22446;A;TIPO1;FUEL 1;Baja;M;Financiera Marca;;;Empresa;Cordoba;NO;NO;NO;Otros;NO DATA;No;NO;8.95;512;20527;0;8;57;0
CLI32494;J;TIPO7;FUEL 2;Alta;M;Contado;CASADO;F;Empresa;Madrid;NO;SI;NO;NA;NO DATA;Averia muy grave;SI;5.92;1297;14359;0;3;46;0
CLI30753;J;TIPO7;FUEL 2;Alta;M;Otros;CASADO;F;Empresa;Baleares;NO;NO;NO;Alto;NO DATA;Averia grave;NO;7.93;732;16209;0;5;48;0
CLI47548;I;TIPO7;FUEL 2;Media;M;Financiera Marca;CASADO;M;Empresa;Albacete;SI;NO;NO;Medio-Bajo;SI;Averia muy grave;SI;2.54;2799;2831;0;1;37;0
CLI35252;D;TIPO1;FUEL 2;Alta;M;Contado;CASADO;M;Empresa;Castellon;NO;NO;NO;Medio-Bajo;NO DATA;Averia muy grave;SI;7.37;4896;13719;0;5;47;0
CLI50344;I;TIPO7;FUEL 2;Media;M;Financiera Marca;SOLTERO;M;Empresa;Vizcaya;NO;NO;SI;NA;NO DATA;No;NO;1.7;3972;0;1;0;26;6
CLI16499;B;TIPO1;FUEL 2;Media;M;Financiera Marca;CASADO;F;Empresa;Madrid;SI;NO;NO;Alto;SI;Averia grave;NO;2.94;3226;29929;1;1;42;6
CLI53076;I;TIPO7;FUEL 1;Alta;M;Contado;CASADO;M;Empresa;Alicante;NO;NO;NO;Medio-Bajo;NO DATA;No;NO;1.85;1829;0;0;0;51;0
CLI4574;B;TIPO6;FUEL 2;Media;M;Otros;SOLTERO;M;Empresa;Castellon;NO;NO;NO;Medio-Bajo;NO DATA;Averia muy grave;SI;9.1;2287;0;0;4;71;0
CLI46200;I;TIPO7;FUEL 2;Media;M;Contado;CASADO;M;Empresa;Barcelona;NO;NO;NO;Alto;SI;Averia leve;NO;3.04;1903;14995;1;2;49;6
CLI49309;I;TIPO7;FUEL 2;Media;M;Contado;CASADO;M;Empresa;Sevilla;NO;NO;NO;Alto;NO DATA;No;NO;2.02;1903;0;1;1;56;3
CLI2594;B;TIPO1;FUEL 1;Media;M;Financiera Marca;CASADO;M;Funcionario;Alicante;SI;NO;NO;NA;NO DATA;No;NO;2.27;2370;0;0;2;64;0
CLI28074;H;TIPO7;FUEL 1;Media;M;Contado;CASADO;M;Empresa;Granada;NO;NO;NO;Medio-Bajo;NO DATA;No;NO;1.85;1317;0;0;0;53;0
CLI22093;A;TIPO1;FUEL 1;Baja;M;Otros;CASADO;M;Empresa;Barcelona;NO;NO;NO;Medio;NO DATA;No;NO;8.56;920;0;0;4;19;0
CLI56841;I;TIPO7;FUEL 2;Alta;A;Financiera Marca;CASADO;M;Empresa;Lugo;SI;NO;SI;NA;NO DATA;No;NO;1.36;2574;0;0;0;64;0
CLI51278;I;TIPO7;FUEL 2;Media;A;Contado;SOLTERO;M;Empresa;Murcia;SI;NO;NO;Medio-Bajo;SI;Averia grave;NO;4.27;1098;15535;0;4;37;0
CLI16080;B;TIPO1;FUEL 2;Media;M;Otros;CASADO;M;Empresa;Asturias;NO;NO;NO;Medio-Bajo;SI;Averia muy grave;SI;3.77;2510;22703;0;2;40;0
CLI25624;A;TIPO1;FUEL 1;Baja;M;Otros;SOLTERO;F;Empresa;Las Palmas;NO;NO;NO;Alto;NO DATA;Averia muy grave;SI;8.92;512;0;0;8;32;0
CLI24879;A;TIPO1;FUEL 1;Baja;M;Otros;SOLTERO;F;Empresa;Avila;NO;NO;NO;Medio-Bajo;SI;No;NO;7.51;920;6444;0;7;52;0
CLI41930;D;TIPO8;FUEL 2;Media;A;Financiera Marca;CASADO;M;Funcionario;Leon;SI;NO;NO;Medio;SI;Averia muy grave;SI;3.76;3647;22135;0;2;50;0
CLI11130;B;TIPO1;FUEL 1;Media;M;Financiera Banco;OTROS;F;Empresa;Alicante;NO;NO;NO;Medio;SI;No;NO;6.22;5084;6436;0;4;56;0
CLI16841;B;TIPO1;FUEL 2;Media;M;Financiera Banco;CASADO;M;Empresa;Castellon;NO;NO;NO;Medio;SI;No;NO;2.29;2434;13350;0;2;47;0
CLI42650;I;TIPO7;FUEL 1;Alta;M;Financiera Marca;SOLTERO;M;Empresa;Madrid;NO;NO;NO;Medio;SI;Averia grave;SI;4.1;2184;6311;0;4;41;0
CLI22784;A;TIPO1;FUEL 2;Baja;M;Contado;SOLTERO;F;Funcionario;Murcia;NO;NO;NO;Medio;NO DATA;No;NO;8.43;5204;4277;0;4;38;0
CLI49749;I;TIPO7;FUEL 2;Media;M;Financiera Marca;SOLTERO;M;Autonomo;Barcelona;NO;NO;SI;NA;NO DATA;No;NO;1.46;2648;0;0;1;70;0
CLI32181;J;TIPO7;FUEL 2;Alta;M;Contado;CASADO;F;Empresa;Murcia;NO;NO;NO;Alto;NO DATA;Averia muy grave;SI;6.02;3897;32786;0;3;50;0
CLI40370;D;TIPO6;FUEL 2;Media;M;Financiera Marca;CASADO;M;Empresa;Orense;SI;NO;NO;Medio-Bajo;NO DATA;Averia muy grave;SI;2.1;6600;0;0;1;31;0
CLI41279;D;TIPO6;FUEL 1;Media;M;Financiera Marca;CASADO;M;Empresa;Vizcaya;NO;NO;SI;NA;NO DATA;No;SI;1.37;4751;0;0;1;22;0
CLI32456;J;TIPO7;FUEL 2;Alta;M;Contado;CASADO;M;Autonomo;Lacoruna;NO;NO;NO;Alto;SI;Averia muy grave;SI;5.84;2217;8130;0;3;44;0
CLI30602;J;TIPO7;FUEL 1;Alta;M;Otros;CASADO;F;Empresa;Cadiz;NO;NO;NO;Medio;NO DATA;No;NO;9.61;0;0;0;7;28;0
CLI15080;B;TIPO1;FUEL 1;Media;M;Otros;CASADO;M;Empresa;Santa Cruz de Tenerife;NO;NO;NO;Medio-Bajo;SI;Averia leve;NO;2.81;1750;15192;0;2;57;0
CLI14090;B;TIPO6;FUEL 1;Media;M;Financiera Marca;CASADO;F;Empresa;Sevilla;SI;NO;NO;Alto;SI;No;NO;3.23;4524;9701;1;2;40;8
CLI27629;H;TIPO7;FUEL 1;Media;M;Contado;CASADO;M;Empresa;La Rioja;NO;NO;NO;Medio-Bajo;NO DATA;No;NO;2.29;1317;0;0;2;36;0
CLI43542;I;TIPO7;FUEL 1;Alta;M;Financiera Marca;CASADO;M;Empresa;La Rioja;SI;NO;NO;Medio-Bajo;SI;No;NO;2.84;2727;13061;0;2;50;0
CLI16293;B;TIPO1;FUEL 2;Media;M;Financiera Marca;CASADO;M;Empresa;Madrid;SI;NO;NO;Medio;SI;No;NO;3.23;3375;23344;0;2;26;0
CLI1867;B;TIPO1;FUEL 1;Media;M;Financiera Marca;CASADO;F;Empresa;Baleares;SI;NO;SI;Medio;SI;No;NO;2.62;4383;9050;1;2;41;8
CLI6827;B;TIPO1;FUEL 1;Media;M;Contado;CASADO;M;Funcionario;Madrid;NO;NO;NO;Alto;NO DATA;Averia muy grave;SI;9.26;5501;30740;0;8;51;0
CLI33043;J;TIPO7;FUEL 2;Alta;M;Otros;;;Empresa;Jaen;SI;NO;NO;Medio-Bajo;SI;Averia muy grave;SI;5.76;1946;34145;1;4;44;4
CLI32366;J;TIPO7;FUEL 2;Alta;M;Contado;EN PAREJA;M;Empresa;Madrid;NO;SI;NO;Medio;NO DATA;Averia muy grave;SI;6.69;0;16903;0;4;48;0
CLI23222;A;TIPO1;FUEL 2;Baja;M;Contado;SOLTERO;F;Empresa;Madrid;NO;NO;NO;Alto;NO DATA;Averia grave;NO;9.56;0;25175;1;7;37;7
CLI20308;C;TIPO4;FUEL 2;Media;M;Contado;CASADO;F;Empresa;Zaragoza;NO;NO;NO;Alto;NO DATA;No;NO;9.66;2195;10249;1;9;51;6
CLI41884;D;TIPO8;FUEL 2;Media;M;Financiera Marca;SOLTERO;F;Empresa;Toledo;NO;NO;SI;NA;NO DATA;No;NO;1.64;4909;0;0;1;70;0
CLI730;A;TIPO1;FUEL 1;Baja;M;Financiera Marca;CASADO;F;Empresa;Madrid;NO;NO;SI;NA;NO DATA;No;NO;1.28;2169;0;0;1;32;0
CLI9330;B;TIPO1;FUEL 2;Media;M;Otros;CASADO;F;Empresa;La Rioja;NO;NO;NO;Medio;SI;No;NO;7.76;1588;19557;0;5;55;0
CLI22902;A;TIPO1;FUEL 2;Baja;M;Contado;SOLTERO;F;Empresa;Sevilla;NO;NO;NO;Medio;NO DATA;Averia grave;NO;8.51;1466;10686;0;7;61;0
CLI24890;A;TIPO1;FUEL 1;Baja;M;Contado;CASADO;F;Empresa;Barcelona;NO;SI;NO;Medio-Bajo;NO DATA;No;NO;7.28;914;7941;0;5;58;0
CLI42589;I;TIPO7;FUEL 1;Alta;M;Otros;CASADO;M;Empresa;Alava;NO;SI;NO;Medio;SI;Averia muy grave;SI;4.3;1098;12797;0;3;55;0
CLI27279;A;TIPO1;FUEL 1;Baja;M;Financiera Marca;EN PAREJA;F;Empresa;Alicante;SI;NO;NO;Medio;SI;No;SI;3.83;3921;5779;0;2;50;0
CLI35419;D;TIPO1;FUEL 2;Media;M;Contado;;;Empresa;Valencia;NO;NO;NO;NA;SI;Averia muy grave;SI;8.14;3530;37702;1;7;38;6
CLI20861;C;TIPO4;FUEL 1;Media;M;Financiera Marca;CASADO;M;Empresa;Alava;SI;NO;NO;Medio;SI;Averia leve;SI;3.33;9748;14057;1;2;38;9
CLI49652;I;TIPO7;FUEL 2;Media;M;Financiera Banco;SOLTERO;M;Empresa;Lacoruna;SI;NO;NO;NA;NO DATA;No;NO;1.85;1903;0;0;2;22;0
CLI44051;I;TIPO7;FUEL 2;Media;M;Contado;EN PAREJA;F;Empresa;Madrid;NO;SI;NO;Alto;SI;Averia grave;NO;4.59;0;16783;1;3;56;5
CLI32451;J;TIPO7;FUEL 2;Alta;M;Contado;CASADO;M;Empresa;Madrid;NO;SI;NO;Alto;NO DATA;Averia muy grave;SI;5.77;2217;11520;1;2;58;6
CLI2762;B;TIPO1;FUEL 1;Media;M;Otros;CASADO;M;Empresa;Zaragoza;NO;NO;NO;Alto;NO DATA;No;NO;2.17;1654;0;0;1;57;0
CLI17756;C;TIPO4;FUEL 1;Media;M;Contado;CASADO;F;Empresa;Barcelona;NO;NO;NO;Medio-Bajo;NO DATA;Averia muy grave;SI;9.51;2282;9730;0;9;45;0
CLI56244;I;TIPO7;FUEL 2;Alta;A;Financiera Marca;CASADO;M;Empresa;Barcelona;SI;NO;NO;Medio-Bajo;SI;Averia muy grave;SI;3.44;2915;9671;0;2;43;0
CLI21920;A;TIPO1;FUEL 2;Baja;M;Contado;CASADO;F;Empresa;Malaga;NO;NO;NO;Medio-Bajo;NO DATA;Averia muy grave;SI;9.1;2338;31366;0;7;59;0
CLI56489;I;TIPO7;FUEL 2;Alta;A;Contado;CASADO;M;Empresa;Valencia;SI;NO;NO;Medio-Bajo;SI;Averia leve;NO;2.27;3571;29664;0;1;40;0
CLI7284;B;TIPO1;FUEL 1;Media;M;Contado;SOLTERO;M;Empresa;Madrid;NO;NO;NO;Medio;NO DATA;No;NO;9.01;3207;17738;0;9;50;0
CLI42817;I;TIPO7;FUEL 1;Alta;M;Contado;CASADO;M;Empresa;Baleares;NO;NO;NO;Alto;SI;No;NO;3.6;1829;12994;1;2;61;6
CLI32225;J;TIPO7;FUEL 2;Alta;M;Contado;CASADO;M;Empresa;Cantabria;NO;NO;NO;Medio;SI;Averia grave;SI;6.76;0;15397;0;4;53;0
CLI35456;D;TIPO1;FUEL 2;Media;M;Contado;EN PAREJA;M;Empresa;Huelva;NO;NO;NO;Medio-Bajo;NO DATA;Averia leve;SI;8.18;2353;23749;0;4;58;0
CLI20401;C;TIPO4;FUEL 2;Media;M;Contado;;;Empresa;Cordoba;NO;NO;NO;Alto;NO DATA;No;NO;9.43;2392;17448;1;7;57;7
CLI3790;B;TIPO1;FUEL 1;Alta;M;Financiera Marca;CASADO;M;Empresa;Asturias;NO;NO;SI;NA;NO DATA;No;NO;1.68;3141;0;0;0;31;0
CLI12324;B;TIPO1;FUEL 1;Alta;M;Contado;CASADO;F;Empresa;Madrid;NO;NO;NO;Alto;NO DATA;Averia grave;NO;7.51;3116;8685;0;5;53;0
CLI22954;A;TIPO1;FUEL 2;Baja;M;Contado;CASADO;F;Empresa;Lacoruna;NO;NO;NO;NA;SI;Averia leve;NO;8.76;1892;10024;0;5;62;0
CLI48787;I;TIPO7;FUEL 2;Media;M;Contado;CASADO;M;Empresa;Gerona;NO;NO;NO;Alto;NO DATA;Averia muy grave;SI;2;1903;0;0;0;33;0
CLI43870;I;TIPO7;FUEL 2;Media;M;Otros;CASADO;M;Empresa;Barcelona;SI;NO;NO;Medio;SI;Averia grave;NO;4.83;776;13447;0;2;62;0
CLI5389;B;TIPO1;FUEL 1;Media;M;Otros;CASADO;F;Empresa;Madrid;NO;NO;NO;Alto;NO DATA;Averia muy grave;SI;9.34;732;14111;0;4;43;0
CLI1073;A;TIPO1;FUEL 1;Baja;A;Contado;CASADO;F;Empresa;Baleares;SI;NO;NO;Alto;NO DATA;No;NO;1.86;3213;0;1;1;30;5
