PRODUCTO;COMBUSTIBLE;Potencia_;TRANS;FORMA_PAGO;ESTADO_CIVIL;GENERO;OcupaciOn;PROVINCIA;Campanna1;Campanna2;Campanna3;Zona _Renta;REV_Garantia;Averia_grave;QUEJA_CAC;COSTE_VENTA;km_anno;Revisiones;Edad Cliente;Mas_1_coche_Pred
A;FUEL 1;Baja;M;Otros;1;0;Empresa;Gerona;SI;NO;NO;Medio-Bajo;SI;Averia grave;NO;5286;6124;2;37;1
A;FUEL 1;Baja;M;Financiera Marca;1;1;Empresa;Madrid;SI;NO;NO;Alto;NO DATA;Averia leve;NO;3110;0;0;22;0
A;FUEL 1;Baja;M;Otros;1;0;Funcionario;Jaen;SI;NO;NO;Medio;SI;Averia muy grave;SI;1541;4923;1;29;0
A;FUEL 1;Baja;M;Otros;1;1;Empresa;Baleares;SI;NO;NO;Medio;NO DATA;Averia grave;NO;3599;0;1;20;1
A;FUEL 1;Baja;M;Financiera Banco;0;1;Empresa;Barcelona;SI;NO;NO;Medio-Bajo;SI;Averia leve;NO;2905;10219;2;45;0
A;FUEL 1;Baja;M;Contado;1;0;Empresa;Murcia;NO;NO;NO;Medio-Bajo;SI;No;NO;1541;18674;2;58;0
A;FUEL 1;Baja;M;Contado;1;0;Empresa;Asturias;NO;NO;NO;Medio-Bajo;NO DATA;Averia muy grave;SI;1541;0;2;25;0
A;FUEL 1;Baja;M;Contado;0;0;Empresa;La Rioja;SI;NO;NO;Medio;SI;No;NO;3239;14797;2;54;0
A;FUEL 1;Baja;M;Contado;0;0;Empresa;Lacoruna;NO;NO;NO;Medio-Bajo;NO DATA;Averia grave;NO;1541;0;0;26;0
A;FUEL 1;Baja;M;Otros;1;1;Empresa;Pontevedra;SI;NO;NO;Medio;SI;No;NO;3239;30078;2;60;1
A;FUEL 1;Baja;M;Financiera Marca;0;1;Empresa;Madrid;SI;NO;SI;Medio;SI;Averia leve;NO;1541;17003;1;46;0
A;FUEL 1;Baja;M;Financiera Marca;0;1;Empresa;Madrid;NO;NO;SI;;NO DATA;Averia grave;NO;4696;0;0;19;0
A;FUEL 1;Baja;M;Financiera Marca;1;0;Empresa;Barcelona;NO;NO;SI;;NO DATA;Averia leve;NO;2429;0;1;20;1
A;FUEL 1;Baja;M;Otros;1;1;Autonomo;Las Palmas;NO;NO;NO;Alto;NO DATA;Averia muy grave;SI;1525;0;1;18;0
A;FUEL 1;Baja;M;Financiera Marca;0;0;Empresa;Santa Cruz de Tenerife;SI;NO;NO;Medio-Bajo;SI;No;NO;3548;4105;2;42;0
A;FUEL 1;Baja;M;Financiera Marca;1;0;Funcionario;Lugo;SI;NO;NO;Alto;SI;No;NO;1747;13844;1;61;0
A;FUEL 1;Baja;M;Contado;0;0;Empresa;Valencia;NO;NO;NO;Alto;NO DATA;Averia muy grave;SI;1541;0;2;29;0
A;FUEL 1;Baja;M;Contado;1;0;Empresa;Santa Cruz de Tenerife;NO;NO;NO;Alto;SI;Averia muy grave;SI;2036;6847;1;23;0
A;FUEL 1;Baja;M;Otros;0;1;Empresa;Baleares;SI;NO;NO;Medio-Bajo;SI;Averia muy grave;SI;3239;10025;1;39;0
A;FUEL 1;Baja;M;Financiera Marca;1;1;Empresa;Baleares;SI;NO;SI;;NO DATA;Averia muy grave;SI;1781;0;1;26;0
A;FUEL 1;Baja;M;Financiera Marca;1;1;Empresa;Gerona;SI;NO;NO;Alto;NO DATA;Averia muy grave;SI;2495;0;0;28;0
A;FUEL 1;Baja;M;Financiera Marca;0;0;Empresa;Barcelona;SI;NO;NO;Alto;NO DATA;No;NO;4312;0;2;28;1
A;FUEL 1;Baja;M;Financiera Marca;0;0;Empresa;Barcelona;SI;NO;NO;Alto;SI;Averia muy grave;SI;2257;10339;2;53;0
A;FUEL 1;Baja;M;Otros;0;1;Empresa;Santa Cruz de Tenerife;NO;NO;NO;Alto;NO DATA;Averia leve;NO;2275;0;1;22;0
A;FUEL 1;Baja;M;Financiera Marca;1;0;Empresa;Baleares;SI;NO;NO;Medio;NO DATA;No;NO;2495;0;0;27;1
A;FUEL 1;Baja;M;Financiera Banco;1;1;Empresa;Barcelona;NO;NO;NO;Medio;NO DATA;No;NO;1781;0;0;18;0
A;FUEL 1;Baja;M;Financiera Banco;1;0;Empresa;Barcelona;NO;NO;NO;;NO DATA;Averia leve;NO;1781;0;1;31;0
A;FUEL 1;Baja;M;Otros;1;1;Empresa;Santa Cruz de Tenerife;NO;NO;NO;;NO DATA;Averia leve;NO;2036;0;2;23;0
A;FUEL 1;Baja;M;Otros;1;0;Empresa;Lacoruna;NO;NO;SI;Medio;NO DATA;Averia grave;NO;2671;0;2;29;0
A;FUEL 1;Baja;M;Otros;0;1;Empresa;Tarragona;NO;NO;NO;Alto;SI;Averia muy grave;SI;1030;22763;2;46;0
A;FUEL 1;Baja;M;Contado;1;0;Empresa;Madrid;NO;NO;NO;Alto;SI;No;NO;1030;3326;1;41;1
A;FUEL 1;Baja;M;Financiera Marca;0;0;Empresa;Las Palmas;SI;NO;NO;Medio-Bajo;NO DATA;Averia grave;NO;2242;0;2;29;0
A;FUEL 1;Baja;M;Financiera Marca;1;1;Empresa;Gerona;SI;NO;NO;Alto;NO DATA;No;NO;1747;0;1;19;0
A;FUEL 1;Baja;M;Financiera Marca;1;1;Empresa;Baleares;SI;NO;SI;;NO DATA;Averia grave;NO;1781;0;0;18;0
A;FUEL 1;Baja;M;Contado;1;1;Funcionario;Madrid;SI;NO;NO;Medio;NO DATA;No;NO;3239;0;2;28;0
A;FUEL 1;Baja;M;Otros;0;1;Empresa;Ciudad Real;SI;NO;NO;Medio-Bajo;NO DATA;Averia muy grave;SI;2473;0;2;32;0
A;FUEL 1;Baja;M;Financiera Marca;1;0;Empresa;Barcelona;SI;NO;NO;Medio;SI;No;NO;4312;6988;2;54;1
A;FUEL 1;Baja;M;Financiera Marca;1;0;Empresa;Valencia;SI;NO;NO;Medio;NO DATA;Averia muy grave;SI;2257;0;2;23;0
A;FUEL 1;Baja;M;Contado;1;1;Empresa;Barcelona;NO;NO;NO;Alto;NO DATA;Averia muy grave;SI;1781;0;2;24;0
A;FUEL 1;Baja;M;Otros;1;1;Empresa;Madrid;NO;NO;NO;Medio;NO DATA;No;NO;1541;0;2;29;0
A;FUEL 1;Baja;M;Financiera Marca;1;0;Empresa;Granada;NO;NO;SI;;NO DATA;No;NO;2429;0;1;22;0
A;FUEL 1;Baja;M;Contado;1;0;Empresa;Sevilla;SI;NO;NO;Alto;NO DATA;Averia muy grave;SI;5286;0;2;31;1
A;FUEL 1;Baja;M;Contado;1;1;Empresa;Barcelona;NO;NO;NO;Medio;NO DATA;Averia leve;NO;1541;0;1;25;1
A;FUEL 1;Baja;M;Financiera Marca;1;1;Empresa;Madrid;SI;NO;NO;Medio;SI;No;NO;2257;20292;2;45;0
A;FUEL 1;Baja;M;Contado;0;1;Empresa;Madrid;NO;NO;NO;Medio;NO DATA;Averia grave;NO;1541;0;1;20;0
A;FUEL 1;Baja;M;Financiera Marca;1;1;Empresa;Gerona;NO;NO;SI;;NO DATA;No;NO;2429;0;1;31;0
A;FUEL 1;Baja;M;Contado;0;0;Empresa;Madrid;NO;NO;NO;Alto;NO DATA;Averia grave;NO;3599;0;2;30;0
A;FUEL 1;Baja;M;Contado;1;0;Empresa;Barcelona;NO;NO;NO;Medio;NO DATA;Averia leve;NO;2502;0;1;28;0
A;FUEL 1;Baja;M;Otros;1;1;Empresa;Santa Cruz de Tenerife;NO;NO;NO;Medio-Bajo;SI;Averia muy grave;SI;2036;5439;2;25;0
A;FUEL 1;Baja;M;Otros;0;0;Empresa;Santa Cruz de Tenerife;NO;NO;NO;Alto;NO DATA;Averia grave;NO;2036;0;2;29;0
A;FUEL 1;Baja;M;Financiera Marca;1;0;Empresa;Guipuzcua;SI;NO;SI;Alto;SI;No;NO;1541;2385;2;20;0
A;FUEL 1;Baja;M;Otros;1;0;Empresa;Santa Cruz de Tenerife;NO;NO;NO;Medio;NO DATA;No;NO;2036;0;2;31;0
A;FUEL 1;Baja;M;Financiera Marca;1;1;Empresa;Pontevedra;SI;NO;NO;Medio;SI;No;NO;4312;9204;2;52;0
A;FUEL 1;Baja;M;Financiera Marca;1;1;Empresa;Sevilla;NO;NO;SI;;NO DATA;Averia grave;NO;2429;0;1;23;0
A;FUEL 1;Baja;M;Otros;0;0;Empresa;Guipuzcua;NO;NO;NO;Alto;SI;Averia muy grave;SI;2905;6385;2;46;0
A;FUEL 1;Baja;M;Contado;0;1;Empresa;Cuenca;NO;NO;NO;Medio-Bajo;SI;Averia leve;NO;1541;4727;1;39;0
A;FUEL 1;Baja;M;Financiera Marca;1;0;Empresa;Gerona;SI;NO;NO;Medio;SI;No;NO;2257;13954;1;48;0
A;FUEL 1;Baja;M;Contado;0;0;Empresa;Valencia;NO;NO;NO;Alto;NO DATA;Averia muy grave;SI;1541;0;1;18;0
A;FUEL 1;Baja;M;Contado;1;0;Empresa;Malaga;SI;NO;NO;Alto;SI;Averia leve;SI;3239;8957;2;48;0
A;FUEL 1;Baja;M;Financiera Banco;1;1;Empresa;Pontevedra;SI;NO;NO;;SI;Averia leve;NO;1030;8398;1;39;0
A;FUEL 1;Baja;M;Financiera Marca;1;0;Empresa;Madrid;SI;NO;NO;Alto;NO DATA;No;NO;4312;0;1;30;0
A;FUEL 1;Baja;M;Financiera Marca;1;1;Empresa;Zaragoza;SI;NO;NO;Alto;NO DATA;Averia leve;SI;2257;0;1;24;0
A;FUEL 1;Baja;M;Financiera Marca;0;0;Empresa;Alicante;SI;NO;NO;;NO DATA;No;NO;2495;0;1;30;0
A;FUEL 1;Baja;M;Financiera Marca;1;1;Empresa;Zaragoza;SI;NO;NO;Alto;NO DATA;Averia muy grave;SI;2495;0;0;23;0
A;FUEL 1;Baja;M;Contado;1;0;Empresa;Pontevedra;SI;NO;NO;;NO DATA;Averia grave;NO;3239;0;1;25;1
A;FUEL 1;Baja;M;Financiera Marca;1;1;Empresa;Madrid;SI;NO;NO;Medio;SI;Averia muy grave;SI;2257;22013;1;50;0
A;FUEL 1;Baja;M;Contado;1;1;Empresa;Cadiz;SI;NO;NO;Medio-Bajo;NO DATA;Averia leve;NO;3599;0;2;23;1
A;FUEL 1;Baja;M;Financiera Marca;1;1;Empresa;Santa Cruz de Tenerife;SI;NO;NO;Medio-Bajo;NO DATA;No;NO;2751;0;2;23;1
A;FUEL 1;Baja;M;Contado;1;1;Empresa;Baleares;SI;NO;NO;;NO DATA;No;NO;1781;0;1;25;0
A;FUEL 1;Baja;M;Otros;1;1;Empresa;Baleares;NO;NO;NO;Alto;NO DATA;No;NO;1781;0;1;28;0
A;FUEL 1;Baja;M;Financiera Marca;1;1;Empresa;Barcelona;SI;NO;SI;Alto;NO DATA;No;NO;1541;0;1;18;0
A;FUEL 1;Baja;M;Financiera Marca;0;0;Empresa;Tarragona;NO;NO;SI;Medio-Bajo;NO DATA;Averia muy grave;SI;2429;0;1;25;1
A;FUEL 1;Baja;M;Otros;1;0;Empresa;Barcelona;NO;NO;NO;Alto;SI;Averia muy grave;SI;1541;10867;2;55;0
A;FUEL 1;Baja;M;Contado;1;1;Empresa;Valencia;SI;NO;NO;Medio-Bajo;SI;No;NO;3239;14018;2;21;0
A;FUEL 1;Baja;M;Financiera Marca;0;1;Empresa;Santa Cruz de Tenerife;SI;NO;NO;;NO DATA;Averia muy grave;SI;2751;0;2;21;0
A;FUEL 1;Baja;M;Contado;1;0;Empresa;Valencia;NO;NO;NO;Medio;NO DATA;No;NO;1541;0;1;25;0
A;FUEL 1;Baja;M;Financiera Marca;0;0;Empresa;Granada;SI;NO;SI;Medio;NO DATA;No;SI;1541;0;2;30;0
A;FUEL 1;Baja;M;Contado;1;1;Empresa;Alicante;SI;NO;NO;;NO DATA;Averia leve;NO;3239;0;1;31;0
A;FUEL 1;Baja;M;Financiera Marca;0;0;Empresa;Malaga;SI;NO;NO;;SI;Averia muy grave;SI;2257;7996;2;55;0
A;FUEL 1;Baja;M;Financiera Marca;1;1;Empresa;Murcia;SI;NO;NO;Medio-Bajo;SI;Averia leve;NO;2257;14705;1;59;0
A;FUEL 1;Baja;M;Contado;1;1;Empresa;Gerona;NO;NO;NO;Medio;NO DATA;Averia muy grave;SI;1541;0;2;28;1
A;FUEL 1;Baja;M;Contado;1;0;Empresa;Madrid;NO;NO;NO;Alto;SI;Averia grave;NO;1541;13817;1;53;0
A;FUEL 1;Baja;M;Financiera Marca;1;0;Empresa;Ciudad Real;SI;NO;NO;Medio;NO DATA;Averia muy grave;SI;2257;0;2;20;0
A;FUEL 1;Baja;M;Contado;0;0;Empresa;Barcelona;NO;NO;NO;Alto;NO DATA;Averia leve;NO;1541;0;2;29;0
A;FUEL 1;Baja;M;Contado;1;1;Empresa;Barcelona;NO;NO;NO;Alto;NO DATA;No;NO;1781;0;1;30;0
A;FUEL 1;Baja;M;Financiera Marca;0;1;Empresa;Gerona;SI;NO;NO;Medio-Bajo;NO DATA;No;NO;2495;0;0;21;0
A;FUEL 1;Baja;M;Financiera Marca;1;1;Empresa;Barcelona;SI;NO;NO;Medio-Bajo;SI;No;NO;2257;10152;1;31;0
A;FUEL 1;Baja;M;Financiera Marca;1;0;Empresa;Madrid;SI;NO;NO;Medio;NO DATA;No;NO;2257;0;2;30;0
A;FUEL 1;Baja;M;Contado;1;1;Empresa;Valencia;NO;NO;NO;Medio;SI;Averia muy grave;SI;1541;28763;2;57;0
A;FUEL 1;Baja;M;Financiera Marca;1;0;Empresa;Pontevedra;SI;NO;SI;;NO DATA;No;NO;4572;0;1;21;1
A;FUEL 1;Baja;M;Otros;1;1;Funcionario;Guipuzcua;SI;NO;NO;Medio-Bajo;SI;Averia muy grave;SI;3239;5487;2;59;0
A;FUEL 1;Baja;M;Financiera Marca;0;1;Empresa;Santa Cruz de Tenerife;SI;NO;NO;;NO DATA;Averia muy grave;SI;2990;0;2;19;0
A;FUEL 1;Baja;M;Otros;0;1;Empresa;Guipuzcua;NO;NO;NO;;SI;Averia leve;NO;1541;20641;1;44;0
A;FUEL 1;Baja;M;Otros;1;1;Empresa;Zaragoza;NO;NO;NO;Medio-Bajo;NO DATA;Averia grave;NO;1541;0;2;23;0
A;FUEL 1;Baja;M;Financiera Marca;0;0;Empresa;Madrid;SI;NO;NO;Medio;NO DATA;Averia muy grave;SI;2257;0;1;23;0
A;FUEL 1;Baja;M;Financiera Marca;0;0;Empresa;Madrid;SI;NO;NO;Alto;NO DATA;No;NO;4312;0;1;24;1
A;FUEL 1;Baja;M;Financiera Marca;1;0;Empresa;Santa Cruz de Tenerife;SI;NO;NO;Medio;NO DATA;No;NO;5055;0;2;22;0
A;FUEL 1;Baja;M;Financiera Marca;1;0;Empresa;Sevilla;SI;NO;SI;;NO DATA;No;SI;1781;0;1;30;0
A;FUEL 1;Baja;M;Financiera Marca;1;0;Empresa;Sevilla;SI;NO;SI;;NO DATA;Averia muy grave;SI;1781;0;1;30;0
A;FUEL 1;Baja;M;Financiera Marca;0;1;Empresa;Pontevedra;SI;NO;NO;Alto;SI;No;NO;2257;6892;1;49;0
A;FUEL 1;Baja;M;Contado;1;1;Empresa;Valladolid;NO;NO;NO;Alto;NO DATA;No;SI;1541;0;1;22;0
A;FUEL 1;Baja;M;Financiera Marca;1;0;Empresa;Valencia;NO;NO;SI;Medio-Bajo;NO DATA;No;NO;2429;0;1;32;0
A;FUEL 1;Baja;M;Otros;1;0;Empresa;Navarra;SI;NO;NO;Alto;SI;No;NO;3599;45859;0;40;1
A;FUEL 1;Baja;M;Financiera Marca;1;0;Empresa;Barcelona;NO;NO;NO;Alto;NO DATA;No;NO;1541;0;1;32;0
A;FUEL 1;Baja;M;Financiera Marca;1;0;Empresa;Cadiz;NO;NO;SI;;NO DATA;No;NO;0;0;0;25;0
A;FUEL 1;Baja;M;Otros;1;0;Empresa;Zaragoza;NO;NO;NO;;NO DATA;No;NO;1781;0;1;27;1
A;FUEL 1;Baja;M;Financiera Marca;0;0;Empresa;Las Palmas;NO;NO;SI;;NO DATA;No;NO;2924;0;1;31;0
A;FUEL 1;Baja;M;Financiera Marca;1;0;Empresa;Tarragona;SI;NO;NO;Medio;SI;No;NO;2257;16886;1;46;0
A;FUEL 1;Baja;M;Contado;1;0;Empresa;Barcelona;NO;NO;NO;;NO DATA;No;NO;1781;0;1;29;0
A;FUEL 1;Baja;M;Contado;1;1;Empresa;Albacete;NO;NO;SI;Medio;NO DATA;No;NO;2671;0;1;20;0
A;FUEL 1;Baja;M;Contado;1;0;Empresa;Baleares;NO;NO;NO;Medio-Bajo;NO DATA;No;NO;2905;0;1;25;1
A;FUEL 1;Baja;M;Financiera Marca;1;1;Empresa;Baleares;SI;NO;SI;;NO DATA;Averia muy grave;SI;2429;0;1;22;0
A;FUEL 1;Baja;M;Financiera Marca;1;1;Empresa;Madrid;SI;NO;SI;Alto;SI;No;NO;2905;26134;1;55;0
A;FUEL 1;Baja;M;Financiera Marca;1;0;Empresa;Madrid;NO;NO;SI;Alto;NO DATA;No;NO;2429;0;0;28;1
A;FUEL 1;Baja;M;Financiera Banco;1;1;Empresa;Barcelona;NO;NO;NO;;SI;No;NO;2905;10337;1;61;0
A;FUEL 1;Baja;M;Financiera Marca;0;1;Empresa;Castellon;SI;NO;NO;Medio-Bajo;NO DATA;No;NO;2495;0;1;19;0
A;FUEL 1;Baja;M;Financiera Marca;0;0;Empresa;Barcelona;NO;NO;SI;Alto;NO DATA;Averia muy grave;SI;2429;0;2;23;0
A;FUEL 1;Baja;M;Otros;1;1;Empresa;Barcelona;NO;NO;NO;Alto;NO DATA;Averia grave;NO;2905;0;0;29;0
A;FUEL 1;Baja;M;Financiera Marca;0;1;Empresa;Santa Cruz de Tenerife;NO;NO;SI;Medio;NO DATA;No;NO;2924;0;1;25;1
A;FUEL 1;Baja;M;Contado;1;1;Empresa;Zaragoza;NO;NO;NO;Medio;NO DATA;No;NO;2905;0;2;24;1
A;FUEL 1;Baja;M;Financiera Marca;0;0;Empresa;Baleares;NO;NO;SI;Alto;NO DATA;No;NO;2429;0;2;26;0
A;FUEL 1;Baja;M;Financiera Banco;0;0;Empresa;Barcelona;SI;NO;NO;Alto;NO DATA;No;NO;3239;0;1;25;0
A;FUEL 1;Baja;M;Financiera Marca;1;0;Empresa;Baleares;SI;NO;SI;Alto;NO DATA;No;NO;1541;0;1;18;0
A;FUEL 1;Baja;M;Financiera Banco;1;1;Empresa;Barcelona;SI;NO;NO;Alto;SI;No;NO;1541;18475;1;37;1
A;FUEL 1;Baja;M;Financiera Marca;0;1;Funcionario;Santa Cruz de Tenerife;SI;NO;NO;Medio;NO DATA;No;NO;2751;0;2;18;0
A;FUEL 1;Baja;M;Contado;1;1;Empresa;Barcelona;NO;NO;NO;;NO DATA;No;NO;1781;0;1;29;0
A;FUEL 1;Baja;M;Financiera Marca;0;1;Empresa;Orense;NO;NO;SI;Medio-Bajo;NO DATA;No;NO;2429;0;2;25;0
A;FUEL 1;Baja;M;Financiera Marca;1;1;Empresa;Toledo;NO;NO;SI;;NO DATA;Averia leve;NO;2429;0;1;23;0
A;FUEL 1;Baja;M;Financiera Marca;0;0;Empresa;Barcelona;NO;NO;SI;;NO DATA;No;NO;2429;0;1;32;0
A;FUEL 1;Baja;M;Financiera Marca;1;0;Empresa;Barcelona;SI;NO;NO;Alto;NO DATA;No;NO;2257;0;1;27;0
A;FUEL 1;Baja;M;Contado;1;1;Empresa;Barcelona;SI;NO;NO;Alto;SI;No;NO;1541;17618;1;37;0
A;FUEL 1;Baja;M;Financiera Marca;0;1;Empresa;Madrid;SI;NO;SI;Medio;NO DATA;No;NO;2429;0;1;28;0
A;FUEL 1;Baja;M;Otros;1;1;Empresa;Barcelona;NO;NO;NO;Alto;SI;No;NO;2312;34565;2;52;1
A;FUEL 1;Baja;M;Otros;1;1;Empresa;Toledo;NO;NO;NO;Medio-Bajo;NO DATA;No;NO;1541;0;1;32;0
A;FUEL 1;Baja;M;Contado;1;0;Empresa;Badajoz;NO;NO;NO;Medio-Bajo;NO DATA;No;NO;3599;0;1;32;1
A;FUEL 1;Baja;M;Financiera Marca;0;0;Empresa;Madrid;SI;NO;NO;Alto;NO DATA;No;NO;3621;0;2;31;0
A;FUEL 1;Baja;M;Contado;1;0;Empresa;Madrid;SI;NO;NO;Alto;SI;No;NO;3599;36330;0;59;1
A;FUEL 1;Baja;M;Financiera Marca;1;1;Empresa;Zaragoza;SI;NO;NO;Medio;NO DATA;No;NO;2257;0;1;30;0
A;FUEL 1;Baja;M;Financiera Marca;1;0;Empresa;Santa Cruz de Tenerife;SI;NO;NO;Medio;NO DATA;No;NO;2990;0;0;22;0
A;FUEL 1;Baja;M;Financiera Marca;1;1;Empresa;Barcelona;NO;NO;SI;;NO DATA;No;NO;2429;0;1;31;0
A;FUEL 1;Baja;M;Contado;0;0;Empresa;Madrid;NO;NO;NO;;NO DATA;No;NO;1781;0;1;25;0
A;FUEL 1;Baja;M;Financiera Marca;0;1;Empresa;Barcelona;SI;NO;NO;Alto;NO DATA;No;NO;2257;0;1;32;0
A;FUEL 1;Baja;M;Financiera Marca;1;1;Empresa;Madrid;SI;NO;NO;Medio;SI;No;NO;2257;20837;1;29;0
A;FUEL 1;Baja;M;Otros;1;0;Empresa;Madrid;NO;NO;NO;Alto;NO DATA;No;NO;1781;0;2;32;0
A;FUEL 1;Baja;M;Financiera Marca;1;1;Empresa;Madrid;SI;NO;NO;Alto;NO DATA;No;NO;2257;0;2;18;0
A;FUEL 1;Baja;M;Contado;1;1;Empresa;Alava;NO;NO;NO;Alto;NO DATA;Averia muy grave;SI;1541;0;1;26;0
A;FUEL 1;Baja;M;Financiera Marca;1;1;Empresa;Madrid;SI;NO;SI;Alto;NO DATA;No;NO;3239;0;2;21;0
A;FUEL 1;Baja;M;Otros;1;0;Empresa;Badajoz;NO;NO;NO;Medio;NO DATA;No;NO;1541;0;2;27;0
A;FUEL 1;Baja;M;Contado;1;0;Empresa;Granada;NO;NO;NO;Alto;NO DATA;No;NO;1541;0;2;21;0
A;FUEL 1;Baja;M;Contado;1;1;Empresa;Teruel;SI;NO;NO;Alto;NO DATA;No;NO;3239;0;1;19;0
A;FUEL 1;Baja;M;Financiera Marca;1;0;Empresa;Madrid;SI;NO;SI;Medio;NO DATA;No;NO;3239;0;2;30;1
A;FUEL 1;Baja;M;Financiera Marca;1;1;Funcionario;Barcelona;SI;NO;SI;Medio-Bajo;NO DATA;No;NO;1541;0;1;22;0
A;FUEL 1;Baja;M;Contado;0;1;Autonomo;Alicante;NO;NO;NO;Medio;NO DATA;No;NO;1781;0;2;18;0
A;FUEL 1;Baja;M;Contado;1;0;Empresa;Las Palmas;NO;NO;NO;;NO DATA;No;NO;2275;0;1;31;0
A;FUEL 1;Baja;M;Contado;1;1;Empresa;Madrid;NO;NO;NO;Alto;NO DATA;No;NO;1875;0;2;21;0
A;FUEL 1;Baja;M;Contado;1;1;Empresa;Barcelona;NO;NO;NO;Alto;NO DATA;No;NO;1541;0;1;25;1
A;FUEL 1;Baja;M;Contado;1;1;Empresa;Madrid;NO;NO;NO;Medio;NO DATA;No;NO;2905;0;2;27;1
