CODE;PRODUCTO;TIPO_CARROCERIA;COMBUSTIBLE;Potencia_;TRANS;FORMA_PAGO;ESTADO_CIVIL;GENERO;OcupaciOn;PROVINCIA;Campanna1;Campanna2;Campanna3;Zona _Renta;REV_Garantia;Averia_grave;QUEJA_CAC;EDAD_COCHE;COSTE_VENTA;km_anno;Mas_1_coche;Revisiones;Edad Cliente;Tiempo
CLI21;A;TIPO1;FUEL 1;Baja;M;Contado;CASADO;M;Empresa;Castellon;SI;NO;NO;Alto;SI;Averia muy grave;SI;2.41;2892;10806;0;1;46;0
CLI22;A;TIPO1;FUEL 1;Baja;M;Contado;CASADO;F;Empresa;Valencia;NO;NO;NO;Alto;SI;No;NO;2.52;2594;6219;1;1;37;5
CLI24;A;TIPO1;FUEL 1;Baja;M;Financiera Marca;CASADO;F;Empresa;Barcelona;SI;NO;NO;Alto;SI;Averia muy grave;SI;2.33;3233;5550;0;1;54;0
CLI25;A;TIPO1;FUEL 1;Baja;M;Otros;CASADO;F;Empresa;La Rioja;NO;NO;NO;Medio-Bajo;SI;No;NO;2.32;2594;6684;0;2;45;0
CLI30;A;TIPO1;FUEL 1;Baja;M;Otros;CASADO;F;Empresa;Zaragoza;SI;NO;NO;Alto;SI;Averia muy grave;SI;2.45;2594;2281;0;2;23;0
CLI31;A;TIPO1;FUEL 1;Baja;M;Otros;CASADO;F;Empresa;Alicante;NO;NO;NO;Medio;SI;Averia muy grave;SI;2.33;2594;9472;0;1;38;0
CLI32;A;TIPO1;FUEL 1;Baja;M;Financiera Marca;CASADO;M;Empresa;Barcelona;SI;NO;NO;Medio;SI;Averia muy grave;SI;2.35;3233;17032;0;2;32;0
CLI34;A;TIPO1;FUEL 1;Baja;M;Contado;CASADO;F;Empresa;Madrid;SI;NO;NO;Alto;SI;Averia leve;NO;2.41;4720;15105;1;1;49;9
CLI36;A;TIPO1;FUEL 1;Baja;M;Contado;CASADO;F;Empresa;Baleares;NO;NO;NO;Medio-Bajo;SI;No;NO;2.47;2594;13303;1;1;57;7
CLI38;A;TIPO1;FUEL 1;Baja;M;Contado;SOLTERO;M;Funcionario;Leon;NO;NO;NO;Medio-Bajo;SI;Averia muy grave;SI;2.43;2594;18774;0;2;39;0
CLI42;A;TIPO1;FUEL 1;Baja;M;Contado;CASADO;M;Empresa;Lacoruna;NO;NO;NO;Medio-Bajo;SI;Averia muy grave;SI;2.31;2594;13218;0;1;52;0
CLI44;A;TIPO1;FUEL 1;Baja;M;Otros;SOLTERO;M;Empresa;Madrid;SI;NO;NO;Alto;SI;Averia grave;NO;2.34;4720;11844;1;2;60;9
CLI50;A;TIPO1;FUEL 1;Baja;M;Otros;CASADO;F;Empresa;Vizcaya;SI;NO;NO;Alto;SI;No;NO;2.5;4720;14663;1;2;37;9
CLI52;A;TIPO1;FUEL 1;Baja;M;Financiera Marca;SOLTERO;F;Empresa;Pontevedra;SI;NO;NO;Medio;SI;Averia muy grave;SI;2.51;5227;5865;1;2;60;8
CLI53;A;TIPO1;FUEL 1;Baja;M;Financiera Marca;CASADO;F;Empresa;Guadalajara;SI;NO;NO;Medio;SI;Averia muy grave;SI;2.33;5677;22231;1;1;26;7
CLI57;A;TIPO1;FUEL 1;Baja;M;Financiera Marca;CASADO;F;Empresa;Vizcaya;SI;NO;NO;Alto;SI;No;NO;2.36;3233;7998;1;2;29;6
CLI58;A;TIPO1;FUEL 1;Baja;M;Otros;OTROS;F;Empresa;Valencia;NO;NO;NO;Medio-Bajo;SI;No;NO;2.39;2594;24347;0;1;53;0
CLI68;A;TIPO1;FUEL 1;Baja;M;Financiera Marca;SOLTERO;F;Empresa;Madrid;SI;NO;NO;Medio;SI;Averia grave;NO;2.33;5677;4186;1;2;58;8
CLI69;A;TIPO1;FUEL 1;Baja;M;Contado;CASADO;F;Funcionario;Leon;NO;NO;NO;Alto;SI;No;NO;2.45;2594;6207;0;2;60;0
CLI72;A;TIPO1;FUEL 1;Baja;M;Otros;CASADO;F;Empresa;Gerona;SI;NO;NO;Medio-Bajo;SI;Averia grave;NO;2.45;4720;6124;1;2;37;8
CLI74;A;TIPO1;FUEL 1;Baja;M;Financiera Marca;CASADO;F;Empresa;Gerona;SI;NO;NO;Medio-Bajo;SI;No;NO;2.43;3850;6580;1;1;18;7
CLI75;A;TIPO1;FUEL 1;Baja;M;Otros;CASADO;F;Empresa;Malaga;NO;NO;NO;Medio;SI;Averia grave;SI;2.47;1376;9646;0;1;50;0
CLI76;A;TIPO1;FUEL 1;Baja;M;Otros;CASADO;F;Funcionario;Jaen;SI;NO;NO;Medio;SI;Averia muy grave;SI;2.29;1376;4923;0;1;29;0
CLI77;A;TIPO1;FUEL 1;Baja;M;Otros;OTROS;F;Empresa;Guipuzcua;NO;NO;NO;Medio-Bajo;SI;Averia muy grave;SI;2.46;2594;9150;0;2;46;0
CLI78;A;TIPO1;FUEL 1;Baja;M;Contado;CASADO;M;Empresa;Barcelona;NO;NO;NO;Alto;SI;No;NO;2.21;1376;9780;1;2;50;5
CLI81;A;TIPO1;FUEL 1;Baja;M;Financiera Banco;EN PAREJA;M;Empresa;Barcelona;SI;NO;NO;Medio-Bajo;SI;Averia leve;NO;2.35;2594;10219;0;2;45;0
CLI82;A;TIPO1;FUEL 1;Baja;M;Financiera Marca;CASADO;F;Empresa;Alicante;SI;NO;NO;Medio-Bajo;SI;Averia muy grave;SI;2.44;2015;5569;0;2;49;0
CLI83;A;TIPO1;FUEL 1;Baja;M;Otros;CASADO;F;Empresa;Zaragoza;NO;NO;NO;Medio;SI;Averia muy grave;SI;2.42;1376;20876;0;1;19;0
CLI84;A;TIPO1;FUEL 1;Baja;M;Financiera Marca;CASADO;F;Empresa;Madrid;SI;NO;NO;Medio;SI;Averia muy grave;SI;2.45;2015;25550;0;2;45;0
CLI85;A;TIPO1;FUEL 1;Baja;M;Contado;CASADO;F;Empresa;Murcia;NO;NO;NO;Medio-Bajo;SI;No;NO;2.45;1376;18674;0;2;58;0
CLI87;A;TIPO1;FUEL 1;Baja;M;Financiera Marca;CASADO;F;Empresa;Valencia;SI;NO;NO;Alto;SI;Averia leve;NO;2.45;2015;10132;0;2;42;0
CLI88;A;TIPO1;FUEL 1;Baja;M;Contado;SOLTERO;F;Empresa;La Rioja;SI;NO;NO;Medio;SI;No;NO;2.39;2892;14797;1;2;54;7
CLI91;A;TIPO1;FUEL 1;Baja;M;Contado;CASADO;M;Empresa;Madrid;SI;NO;NO;Alto;SI;Averia muy grave;SI;2.48;2208;6428;1;2;46;5
CLI92;A;TIPO1;FUEL 1;Baja;M;Otros;CASADO;M;Empresa;Pontevedra;SI;NO;NO;Medio;SI;No;NO;2.39;2892;30078;1;2;60;5
CLI95;A;TIPO1;FUEL 1;Baja;M;Financiera Marca;SOLTERO;M;Empresa;Madrid;SI;NO;SI;Medio;SI;Averia leve;NO;2.39;1376;17003;0;1;46;0
CLI100;A;TIPO1;FUEL 1;Baja;M;Financiera Marca;EN PAREJA;F;Empresa;Gerona;SI;NO;SI;Medio-Bajo;SI;No;NO;2.26;920;20320;0;2;62;0
CLI105;A;TIPO1;FUEL 1;Baja;M;Financiera Marca;SOLTERO;F;Empresa;Santa Cruz de Tenerife;SI;NO;NO;Medio-Bajo;SI;No;NO;2.43;3168;4105;1;2;42;6
CLI106;A;TIPO1;FUEL 1;Baja;M;Financiera Marca;CASADO;F;Funcionario;Lugo;SI;NO;NO;Alto;SI;No;NO;2.35;1560;13844;1;1;61;6
CLI108;A;TIPO1;FUEL 1;Baja;M;Contado;CASADO;F;Empresa;Santa Cruz de Tenerife;NO;NO;NO;Alto;SI;Averia muy grave;SI;2.39;1818;6847;0;1;23;0
CLI110;A;TIPO1;FUEL 1;Baja;M;Otros;SOLTERO;M;Empresa;Baleares;SI;NO;NO;Medio-Bajo;SI;Averia muy grave;SI;2.46;2892;10025;1;1;39;6
CLI111;A;TIPO1;FUEL 1;Baja;M;Financiera Marca;SOLTERO;F;Empresa;Pontevedra;SI;NO;NO;Medio-Bajo;SI;No;NO;2.29;2015;5622;0;1;38;0
CLI115;A;TIPO1;FUEL 1;Baja;M;Financiera Marca;CASADO;F;Empresa;Alicante;SI;NO;NO;Alto;SI;Averia muy grave;SI;2.33;2015;8339;0;1;59;0
CLI116;A;TIPO1;FUEL 1;Baja;M;Otros;CASADO;M;Empresa;Santa Cruz de Tenerife;NO;NO;NO;Medio-Bajo;SI;No;NO;2.26;2727;35494;1;2;44;5
CLI118;A;TIPO1;FUEL 1;Baja;M;Financiera Marca;EN PAREJA;F;Empresa;Barcelona;SI;NO;NO;Alto;SI;Averia muy grave;SI;2.29;2015;10339;0;2;53;0
CLI126;A;TIPO1;FUEL 1;Baja;M;Financiera Marca;CASADO;F;Empresa;Baleares;SI;NO;SI;Alto;SI;Averia muy grave;SI;2.52;3271;9477;1;2;48;7
CLI127;A;TIPO1;FUEL 1;Baja;M;Contado;CASADO;F;Empresa;Lacoruna;NO;NO;NO;Alto;SI;No;NO;2.42;1376;8616;0;2;37;0
CLI131;A;TIPO1;FUEL 1;Baja;M;Contado;CASADO;F;Empresa;Baleares;NO;NO;NO;Alto;SI;Averia muy grave;SI;2.43;920;15224;0;1;57;0
CLI133;A;TIPO1;FUEL 1;Baja;M;Contado;CASADO;M;Empresa;Santa Cruz de Tenerife;SI;NO;NO;Medio;SI;No;NO;2.37;2870;10237;1;1;50;6
CLI136;A;TIPO1;FUEL 1;Baja;M;Financiera Marca;CASADO;M;Empresa;Barcelona;SI;NO;NO;Alto;SI;No;NO;2.35;2015;13606;1;1;60;6
CLI138;A;TIPO1;FUEL 1;Baja;M;Contado;SOLTERO;F;Empresa;Burgos;SI;NO;NO;Medio-Bajo;SI;Averia muy grave;SI;2.44;2892;16300;0;1;41;0
CLI139;A;TIPO1;FUEL 1;Baja;M;Otros;OTROS;M;Empresa;Tarragona;NO;NO;NO;Alto;SI;Averia muy grave;SI;2.37;920;22763;0;2;46;0
CLI140;A;TIPO1;FUEL 1;Baja;M;Contado;CASADO;F;Empresa;Madrid;NO;NO;NO;Alto;SI;No;NO;2.46;920;3326;1;1;41;3
CLI143;A;TIPO1;FUEL 1;Baja;M;Contado;CASADO;F;Empresa;Las Palmas;NO;NO;NO;Medio;SI;Averia muy grave;SI;2.35;1818;9544;0;2;49;0
CLI151;A;TIPO1;FUEL 1;Baja;M;Financiera Marca;CASADO;F;Empresa;Barcelona;SI;NO;NO;Medio;SI;No;NO;2.39;3850;6988;1;2;54;7
CLI156;A;TIPO1;FUEL 1;Baja;M;Financiera Marca;CASADO;M;Empresa;Barcelona;SI;NO;NO;Medio-Bajo;SI;No;NO;2.31;2015;7006;0;2;46;0
CLI162;A;TIPO1;FUEL 1;Baja;M;Financiera Marca;CASADO;M;Empresa;Madrid;SI;NO;SI;Medio-Bajo;SI;No;NO;2.24;1376;22798;0;2;38;0
CLI164;A;TIPO1;FUEL 1;Baja;M;Financiera Marca;CASADO;M;Empresa;Madrid;SI;NO;NO;Medio;SI;No;NO;2.27;2015;20292;0;2;45;0
CLI171;A;TIPO1;FUEL 1;Baja;M;Contado;CASADO;F;Empresa;Gerona;NO;NO;NO;Medio-Bajo;SI;No;NO;2.34;1376;5249;0;2;41;0
CLI174;A;TIPO1;FUEL 1;Baja;M;Otros;SOLTERO;M;Empresa;Burgos;SI;NO;NO;Alto;SI;Averia grave;NO;2.33;1376;12530;1;2;26;5
CLI175;A;TIPO1;FUEL 1;Baja;M;Otros;CASADO;M;Empresa;Santa Cruz de Tenerife;NO;NO;NO;Medio-Bajo;SI;Averia muy grave;SI;2.31;1818;5439;0;2;25;0
CLI176;A;TIPO1;FUEL 1;Baja;M;Contado;SOLTERO;M;Empresa;Madrid;SI;NO;NO;Alto;SI;No;NO;2.35;2208;13414;1;2;37;6
CLI178;A;TIPO1;FUEL 1;Baja;M;Financiera Marca;CASADO;F;Empresa;Guipuzcua;SI;NO;SI;Alto;SI;No;NO;2.43;1376;2385;1;2;20;3
CLI180;A;TIPO1;FUEL 1;Baja;M;Financiera Marca;CASADO;M;Empresa;Pontevedra;SI;NO;NO;Medio;SI;No;NO;2.39;3850;9204;1;2;52;7
CLI184;A;TIPO1;FUEL 1;Baja;M;Otros;OTROS;F;Empresa;Guipuzcua;NO;NO;NO;Alto;SI;Averia muy grave;SI;2.34;2594;6385;0;2;46;0
CLI185;A;TIPO1;FUEL 1;Baja;M;Contado;SOLTERO;M;Empresa;Cuenca;NO;NO;NO;Medio-Bajo;SI;Averia leve;NO;2.39;1376;4727;0;1;39;0
CLI186;A;TIPO1;FUEL 1;Baja;M;Financiera Marca;CASADO;F;Empresa;Gerona;SI;NO;NO;Medio;SI;No;NO;2.42;2015;13954;0;1;48;0
CLI187;A;TIPO1;FUEL 1;Baja;M;Contado;CASADO;F;Empresa;Madrid;SI;NO;NO;Medio;SI;No;NO;2.42;2892;14000;1;2;38;7
CLI189;A;TIPO1;FUEL 1;Baja;M;Contado;CASADO;F;Empresa;Malaga;SI;NO;NO;Alto;SI;Averia leve;SI;2.39;2892;8957;1;2;48;6
CLI190;A;TIPO1;FUEL 1;Baja;M;Financiera Marca;CASADO;F;Empresa;Zaragoza;SI;NO;NO;Alto;SI;Averia muy grave;SI;2.27;1560;6602;0;1;44;0
CLI191;A;TIPO1;FUEL 1;Baja;M;Contado;SOLTERO;F;Empresa;Madrid;SI;NO;NO;Alto;SI;Averia leve;NO;2.35;2208;25046;1;1;62;9
CLI192;A;TIPO1;FUEL 1;Baja;M;Financiera Marca;CASADO;M;Empresa;Asturias;SI;NO;SI;Alto;SI;Averia muy grave;SI;2.42;1376;6048;0;2;37;0
CLI199;A;TIPO1;FUEL 1;Baja;M;Otros;CASADO;F;Empresa;Madrid;NO;NO;NO;Alto;SI;No;NO;2.33;1376;1960;1;2;58;3
CLI200;A;TIPO1;FUEL 1;Baja;M;Contado;CASADO;F;Empresa;Sevilla;NO;NO;NO;Alto;SI;No;NO;2.33;1376;4516;1;1;55;4
CLI202;A;TIPO1;FUEL 1;Baja;M;Financiera Marca;SOLTERO;M;Empresa;Navarra;SI;NO;NO;Medio;SI;No;NO;2.28;1560;12196;0;2;44;0
CLI210;A;TIPO1;FUEL 1;Baja;M;Contado;SOLTERO;M;Empresa;Valencia;NO;NO;NO;Medio;SI;Averia muy grave;SI;2.29;1376;22275;0;1;52;0
CLI212;A;TIPO1;FUEL 1;Baja;M;Otros;CASADO;M;Empresa;Madrid;NO;NO;NO;Alto;SI;Averia muy grave;SI;2.31;1376;14387;0;1;51;0
CLI213;A;TIPO1;FUEL 1;Baja;M;Financiera Marca;CASADO;M;Empresa;Madrid;SI;NO;NO;Medio;SI;Averia muy grave;SI;2.31;2015;22013;0;1;50;0
CLI223;A;TIPO1;FUEL 1;Baja;M;Contado;SOLTERO;M;Empresa;Alicante;NO;NO;NO;Medio-Bajo;SI;No;NO;2.33;1376;9397;0;1;38;0
CLI229;A;TIPO1;FUEL 1;Baja;M;Otros;CASADO;F;Empresa;Barcelona;NO;NO;NO;Alto;SI;Averia muy grave;SI;2.35;1376;10867;0;2;55;0
CLI230;A;TIPO1;FUEL 1;Baja;M;Contado;CASADO;M;Empresa;Valencia;SI;NO;NO;Medio-Bajo;SI;No;NO;2.29;2892;14018;0;2;21;0
CLI236;A;TIPO1;FUEL 1;Baja;M;Financiera Marca;SOLTERO;M;Empresa;Madrid;NO;NO;NO;Medio;SI;No;NO;2.27;2064;31641;1;1;62;4
CLI240;A;TIPO1;FUEL 1;Baja;M;Financiera Marca;CASADO;M;Empresa;Murcia;SI;NO;NO;Medio-Bajo;SI;Averia leve;NO;2.34;2015;14705;0;1;59;0
CLI242;A;TIPO1;FUEL 1;Baja;M;Contado;CASADO;F;Empresa;Madrid;NO;NO;NO;Alto;SI;Averia grave;NO;2.27;1376;13817;1;1;53;6
CLI243;A;TIPO1;FUEL 1;Baja;M;Financiera Marca;CASADO;F;Empresa;Barcelona;SI;NO;SI;Medio-Bajo;SI;No;NO;1.79;3254;32131;1;2;37;5
CLI246;A;TIPO1;FUEL 1;Baja;M;Contado;CASADO;M;Empresa;Barcelona;SI;NO;NO;Alto;SI;No;SI;2.3;2892;6951;1;1;54;6
CLI248;A;TIPO1;FUEL 1;Baja;M;Otros;CASADO;M;Empresa;Tarragona;NO;NO;NO;Medio-Bajo;SI;No;NO;2.26;1376;15107;0;1;40;0
CLI254;A;TIPO1;FUEL 1;Baja;M;Contado;CASADO;F;Empresa;Vizcaya;SI;NO;NO;Alto;SI;No;NO;2.33;2892;3325;1;1;47;5
CLI255;A;TIPO1;FUEL 1;Baja;M;Financiera Marca;CASADO;M;Empresa;Barcelona;SI;NO;NO;Medio-Bajo;SI;No;NO;2.33;2015;10152;0;1;31;0
CLI257;A;TIPO1;FUEL 1;Baja;M;Contado;SOLTERO;F;Empresa;Madrid;SI;NO;NO;Alto;SI;Averia muy grave;SI;2.19;2892;12313;1;1;27;7
CLI260;A;TIPO1;FUEL 1;Baja;M;Otros;CASADO;M;Empresa;Barcelona;NO;NO;NO;Alto;SI;No;NO;2.31;1376;8572;1;2;41;5
CLI262;A;TIPO1;FUEL 1;Baja;M;Contado;CASADO;M;Empresa;Valencia;NO;NO;NO;Medio;SI;Averia muy grave;SI;2.32;1376;28763;0;2;57;0
CLI263;A;TIPO1;FUEL 1;Baja;M;Financiera Marca;CASADO;F;Funcionario;Alicante;SI;NO;NO;Medio-Bajo;SI;Averia muy grave;SI;2.29;2015;3894;0;2;39;0
CLI268;A;TIPO1;FUEL 1;Baja;M;Otros;CASADO;M;Funcionario;Guipuzcua;SI;NO;NO;Medio-Bajo;SI;Averia muy grave;SI;2.3;2892;5487;1;2;59;6
CLI269;A;TIPO1;FUEL 1;Baja;M;Contado;CASADO;F;Empresa;Madrid;NO;NO;NO;Alto;SI;Averia leve;NO;2.31;1376;9466;1;2;39;5
CLI271;A;TIPO1;FUEL 1;Baja;M;Otros;CASADO;M;Empresa;Tarragona;SI;NO;NO;Alto;SI;Averia grave;NO;2.26;1376;21182;0;2;58;0
CLI272;A;TIPO1;FUEL 1;Baja;M;Contado;CASADO;F;Empresa;Gerona;NO;NO;NO;Alto;SI;Averia grave;NO;2.26;1376;20164;0;1;62;0
CLI279;A;TIPO1;FUEL 1;Baja;M;Contado;CASADO;M;Empresa;Asturias;SI;NO;NO;Alto;SI;Averia leve;NO;2.27;2892;6934;1;2;27;6
CLI286;A;TIPO1;FUEL 1;Baja;M;Financiera Banco;SOLTERO;M;Empresa;Pontevedra;SI;NO;NO;Medio;SI;No;SI;2.12;2892;21166;1;1;51;9
CLI292;A;TIPO1;FUEL 1;Baja;M;Financiera Marca;SOLTERO;M;Empresa;Pontevedra;SI;NO;NO;Alto;SI;No;NO;2.27;2015;6892;1;1;49;5
CLI303;A;TIPO1;FUEL 1;Baja;M;Otros;CASADO;F;Empresa;Navarra;SI;NO;NO;Alto;SI;No;NO;1.93;3213;45859;1;0;40;6
CLI305;A;TIPO1;FUEL 1;Baja;M;Financiera Marca;CASADO;F;Empresa;Vizcaya;SI;NO;NO;Medio;SI;No;NO;2.27;2015;12996;0;2;49;0
CLI314;A;TIPO1;FUEL 1;Baja;M;Financiera Marca;CASADO;F;Empresa;Tarragona;SI;NO;NO;Medio;SI;No;NO;2.28;2015;16886;0;1;46;0
CLI324;A;TIPO1;FUEL 1;Baja;M;Financiera Marca;CASADO;M;Empresa;Madrid;SI;NO;SI;Alto;SI;No;NO;2.06;2594;26134;1;1;55;9
CLI342;A;TIPO1;FUEL 1;Baja;M;Financiera Marca;CASADO;M;Empresa;Madrid;SI;NO;NO;Alto;SI;No;NO;2.18;2015;27267;1;1;40;9
CLI355;A;TIPO1;FUEL 1;Baja;M;Financiera Marca;SOLTERO;M;Empresa;Guipuzcua;SI;NO;NO;Alto;SI;No;NO;2.29;2015;18667;1;1;49;7
CLI359;A;TIPO1;FUEL 1;Baja;M;Financiera Banco;CASADO;M;Empresa;Barcelona;SI;NO;NO;Alto;SI;No;NO;2.26;1376;18475;0;1;37;0
CLI373;A;TIPO1;FUEL 1;Baja;M;Financiera Marca;SOLTERO;F;Empresa;Madrid;SI;NO;SI;Medio;SI;No;NO;2.06;3892;30720;1;2;57;6
CLI379;A;TIPO1;FUEL 1;Baja;M;Contado;CASADO;M;Empresa;Barcelona;SI;NO;NO;Alto;SI;No;NO;2.24;1376;17618;0;1;37;0
CLI387;A;TIPO1;FUEL 1;Baja;M;Otros;CASADO;M;Empresa;Barcelona;NO;NO;NO;Alto;SI;No;NO;2.07;2064;34565;1;2;52;4
CLI398;A;TIPO1;FUEL 1;Baja;M;Contado;CASADO;F;Empresa;Madrid;SI;NO;NO;Alto;SI;No;NO;1.98;3213;36330;1;0;59;6
CLI401;A;TIPO1;FUEL 1;Baja;M;Financiera Marca;OTROS;M;Funcionario;Almeria;SI;NO;NO;Medio-Bajo;SI;No;NO;2.23;3850;12563;1;1;61;8
CLI402;A;TIPO1;FUEL 1;Baja;M;Otros;CASADO;M;Empresa;Lerida;SI;NO;NO;Medio-Bajo;SI;No;NO;2.23;2892;14386;1;1;38;7
CLI411;A;TIPO1;FUEL 1;Baja;M;Financiera Marca;CASADO;M;Empresa;Madrid;SI;NO;NO;Medio;SI;No;NO;2.2;2015;20837;0;1;29;0
CLI442;A;TIPO1;FUEL 1;Baja;M;Contado;SOLTERO;M;Empresa;Barcelona;SI;NO;NO;Medio-Bajo;SI;Averia muy grave;SI;2.17;2892;20771;0;1;27;0
CLI468;A;TIPO1;FUEL 1;Baja;M;Financiera Marca;CASADO;F;Empresa;Valencia;SI;NO;NO;Alto;SI;No;NO;2.04;2015;27638;0;1;51;0
CLI494;A;TIPO1;FUEL 1;Baja;M;Financiera Marca;SOLTERO;M;Empresa;Madrid;SI;NO;NO;Alto;SI;No;NO;2.01;2228;28396;1;1;44;9
CLI503;A;TIPO1;FUEL 1;Baja;M;Contado;CASADO;M;Empresa;Baleares;SI;NO;NO;Alto;SI;No;NO;2.09;1376;12597;0;1;41;0
CLI526;A;TIPO1;FUEL 1;Baja;M;Financiera Marca;OTROS;F;Empresa;Las Palmas;NO;NO;SI;Medio-Bajo;SI;No;NO;1.88;2611;20148;0;1;29;0
CLI638;A;TIPO1;FUEL 1;Baja;M;Financiera Marca;CASADO;F;Empresa;Barcelona;NO;NO;SI;Alto;SI;No;NO;1.83;3254;38696;1;0;38;6
CLI989;A;TIPO1;FUEL 1;Baja;A;Contado;CASADO;F;Empresa;Vizcaya;SI;NO;NO;Alto;SI;No;NO;2.52;2892;15565;1;2;62;8
CLI990;A;TIPO1;FUEL 1;Baja;A;Contado;CASADO;M;Empresa;Cadiz;NO;NO;NO;Medio-Bajo;SI;Averia grave;NO;2.43;1376;2905;0;2;44;0
CLI991;A;TIPO1;FUEL 1;Baja;A;Financiera Marca;OTROS;F;Empresa;Valencia;SI;NO;NO;Medio-Bajo;SI;No;SI;2.31;2015;17936;0;2;48;0
CLI995;A;TIPO1;FUEL 1;Baja;A;Financiera Marca;CASADO;M;Empresa;Malaga;SI;NO;SI;Alto;SI;Averia grave;NO;2.47;1376;11641;1;1;37;5
CLI996;A;TIPO1;FUEL 1;Baja;A;Otros;CASADO;F;Empresa;Tarragona;NO;NO;NO;Medio;SI;No;NO;2.43;1376;6896;0;2;61;0
CLI1000;A;TIPO1;FUEL 1;Baja;A;Financiera Marca;SOLTERO;F;Empresa;Las Palmas;SI;NO;NO;Medio;SI;No;NO;2.31;2456;16853;0;2;20;0
CLI1001;A;TIPO1;FUEL 1;Baja;A;Contado;CASADO;M;Empresa;Barcelona;NO;NO;NO;Alto;SI;No;NO;2.31;1376;26212;0;1;44;0
CLI1003;A;TIPO1;FUEL 1;Baja;A;Financiera Marca;CASADO;F;Empresa;Madrid;SI;NO;NO;Alto;SI;No;NO;2.34;2015;13017;1;1;50;6
CLI1008;A;TIPO1;FUEL 1;Baja;A;Contado;CASADO;M;Empresa;Madrid;SI;NO;NO;Alto;SI;No;NO;2.33;2892;11298;1;1;50;7
CLI1013;A;TIPO1;FUEL 1;Baja;A;Otros;CASADO;F;Empresa;Cantabria;SI;NO;NO;Medio;SI;No;NO;2.29;2892;16025;1;1;44;8
CLI1018;A;TIPO1;FUEL 1;Baja;A;Financiera Marca;CASADO;F;Empresa;Pontevedra;SI;NO;NO;Medio-Bajo;SI;Averia muy grave;SI;2.27;2015;6780;0;2;52;0
CLI1019;A;TIPO1;FUEL 1;Baja;A;Financiera Marca;SOLTERO;F;Empresa;Valladolid;SI;NO;SI;Medio-Bajo;SI;Averia grave;NO;2.24;1376;15340;0;2;46;0
CLI1041;A;TIPO1;FUEL 1;Baja;A;Financiera Marca;SOLTERO;F;Empresa;Santa Cruz de Tenerife;SI;NO;NO;Medio-Bajo;SI;No;NO;2.2;3685;32452;1;2;39;6
CLI1125;A;TIPO1;FUEL 1;Media;M;Financiera Marca;SOLTERO;M;Empresa;Madrid;SI;NO;SI;Medio;SI;Averia leve;SI;2.44;2594;26128;0;2;39;0
CLI1126;A;TIPO1;FUEL 1;Media;M;Contado;CASADO;M;Empresa;La Rioja;NO;NO;NO;Medio-Bajo;SI;Averia leve;NO;2.02;1376;26188;1;2;58;8
